Comment,Designator,Footprint,LCSC
10k,"R1,R10,R14,R15,R16,R17,R24,R8,R9",R_0402_1005Metric,C11616
1k,"R18,R19,R20,R5,R6,R7",R_0402_1005Metric,C11702
SN65HVD230,U3,SOIC-8_3.9x4.9mm_P1.27mm,C12084
22u,"C10,C9",C_1206_3216Metric,C12891
Conn_02x05_Odd_Even,J1,PinHeader_2x05_P1.27mm_Vertical_SMD,C150517
4.7u,C1,C_0603_1608Metric,C19666
AP63200WU,U2,TSOT-23-6,C2071868
AO3400A,"Q1,Q2,Q3,Q4,Q5",SOT-23,C20917
100,"R2,R3,R4",R_0402_1005Metric,C25076
120,R27,R_0402_1005Metric,C25079
330,"R25,R26",R_0402_1005Metric,C25104
100n,"C12,C2,C4,C5,C6,C7,C8",C_0402_1005Metric,C307331
3.9uH,L1,L_Abracon_ASPI-3012S,C431700
10u,C3,C_0805_2012Metric,C440198
2.2k 500mW,"R11,R12,R13,R21,R22,R23,R28,R29",R_0805_2012Metric,C441982
1u,C11,C_0402_1005Metric,C52923
RJ45_LED_Shielded_x2,J4,RJ45_Amphenol_RJHSE538X-02,C86581
STM32F103C8Tx,U1,LQFP-48_7x7mm_P0.5mm,C8734
