Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7u,C_0603_1608Metric,140.005,-92.0,0.0,top
C2,100n,C_0402_1005Metric,140.005,-93.25,0.0,top
C3,10u,C_0805_2012Metric,157.75,-88.0,90.0,top
C4,100n,C_0402_1005Metric,148.255,-96.0,-90.0,top
C5,100n,C_0402_1005Metric,145.005,-104.75,180.0,top
C6,100n,C_0402_1005Metric,136.755,-99.52,90.0,top
C7,100n,C_0402_1005Metric,136.755,-96.73,-90.0,top
C8,100n,C_0402_1005Metric,152.75,-87.52,90.0,top
C9,22u,C_1206_3216Metric,157.0,-83.5,-90.0,top
C10,22u,C_1206_3216Metric,159.5,-83.5,-90.0,top
C11,1u,C_0402_1005Metric,142.5,-119.0,180.0,top
C12,100n,C_0402_1005Metric,153.5,-99.0,90.0,top
J1,Conn_02x05_Odd_Even,PinHeader_2x05_P1.27mm_Vertical_SMD,142.5,-76.0,-90.0,top
J4,RJ45_LED_Shielded_x2,RJ45_Amphenol_RJHSE538X-02,174.875,-87.57,-90.0,top
L1,3.9uH,L_Abracon_ASPI-3012S,154.0,-83.75,90.0,top
Q1,AO3400A,SOT-23,124.75,-92.0,0.0,top
Q2,AO3400A,SOT-23,124.75,-95.5,0.0,top
Q3,AO3400A,SOT-23,124.75,-99.0,0.0,top
Q4,AO3400A,SOT-23,126.75,-102.5,180.0,top
Q5,AO3400A,SOT-23,126.75,-106.0,180.0,top
R1,10k,R_0402_1005Metric,143.0,-92.25,90.0,top
R2,100,R_0402_1005Metric,143.75,-82.25,-90.0,top
R3,100,R_0402_1005Metric,141.25,-82.25,-90.0,top
R4,100,R_0402_1005Metric,142.5,-82.25,-90.0,top
R5,1k,R_0402_1005Metric,128.25,-92.0,-90.0,top
R6,1k,R_0402_1005Metric,128.25,-95.5,-90.0,top
R7,1k,R_0402_1005Metric,128.25,-99.0,-90.0,top
R8,10k,R_0402_1005Metric,127.25,-92.0,90.0,top
R9,10k,R_0402_1005Metric,127.25,-95.5,90.0,top
R10,10k,R_0402_1005Metric,127.25,-99.0,90.0,top
R11,2.2k 500mW,R_0805_2012Metric,121.75,-92.0,90.0,top
R12,2.2k 500mW,R_0805_2012Metric,121.75,-95.5,90.0,top
R13,2.2k 500mW,R_0805_2012Metric,121.75,-99.0,90.0,top
R14,10k,R_0402_1005Metric,129.25,-102.5,90.0,top
R15,10k,R_0402_1005Metric,129.25,-106.0,90.0,top
R16,10k,R_0402_1005Metric,124.25,-102.5,-90.0,top
R17,10k,R_0402_1005Metric,124.25,-106.0,-90.0,top
R18,1k,R_0402_1005Metric,123.25,-102.5,-90.0,top
R19,1k,R_0402_1005Metric,123.25,-106.0,-90.0,top
R20,1k,R_0402_1005Metric,142.5,-118.0,0.0,top
R21,2.2k 500mW,R_0805_2012Metric,121.75,-102.5,-90.0,top
R22,2.2k 500mW,R_0805_2012Metric,121.75,-106.0,-90.0,top
R23,2.2k 500mW,R_0805_2012Metric,136.0,-124.25,90.0,top
R24,10k,R_0402_1005Metric,158.76,-95.75,0.0,top
R25,330,R_0402_1005Metric,162.75,-92.0,0.0,top
R26,330,R_0402_1005Metric,162.75,-106.0,0.0,top
R27,120,R_0402_1005Metric,162.75,-99.0,90.0,top
R28,2.2k 500mW,R_0805_2012Metric,171.4125,-80.25,0.0,top
R29,2.2k 500mW,R_0805_2012Metric,168.25,-118.0,180.0,top
U1,STM32F103C8Tx,LQFP-48_7x7mm_P0.5mm,142.5,-99.0,270.0,top
U2,AP63200WU,TSOT-23-6,155.0,-88.0,270.0,top
U3,SN65HVD230,SOIC-8_3.9x4.9mm_P1.27mm,157.75,-99.0,270.0,top
